athlete_id,session_id,sensor_id,timestamp_s,body_roll_deg,pitch_deg,yaw_deg,stroke_rate_spm,lap_speed_mps,stroke_type,fatigue_level,movement_quality
A007,S001,SENS03,1,4.44,17.9,6.09,34.89,1.18,Breaststroke,Low,Medium
A007,S001,SENS03,2,3.23,11.83,6.92,37.71,1.059,Breaststroke,Low,Bad
A007,S001,SENS03,3,-3.11,18.94,7.22,32.88,1.034,Breaststroke,Low,Bad
A007,S001,SENS03,4,-1.31,14.08,3.31,37.36,0.947,Breaststroke,Low,Good
A007,S001,SENS03,5,-6.33,14.92,6.29,34.13,1.172,Breaststroke,Low,Medium
A007,S001,SENS03,6,3.07,16.18,-1.27,31.25,1.137,Breaststroke,Low,Good
A007,S001,SENS03,7,-5.95,14.91,-4.95,35.17,1.003,Breaststroke,Low,Medium
A007,S001,SENS03,8,3.56,15.08,-2.39,32.29,1.122,Breaststroke,Low,Good
A007,S001,SENS03,9,-0.34,15.03,-2.11,35.36,1.15,Breaststroke,Low,Good
A007,S001,SENS03,10,1.81,14.09,-5.5,34.61,1.144,Breaststroke,Low,Medium
A007,S001,SENS03,11,-2.59,14.64,9.39,29.74,1.014,Breaststroke,Low,Medium
A007,S001,SENS03,12,-6.99,13.77,2.19,31.13,1.107,Breaststroke,Low,Medium
A007,S001,SENS03,13,-0.18,12.73,-10.63,35.66,1.066,Breaststroke,Low,Medium
A007,S001,SENS03,14,-5.04,13.84,3.03,26.67,1.039,Breaststroke,Low,Medium
A007,S001,SENS03,15,-2.74,22.66,-1.79,32.9,1.193,Breaststroke,Low,Bad
A007,S001,SENS03,16,7.66,14.58,-0.96,28.79,0.984,Breaststroke,Low,Medium
A007,S001,SENS03,17,-7.71,19.94,-4.02,33.02,1.145,Breaststroke,Low,Bad
A007,S001,SENS03,18,6.0,16.58,3.32,35.05,1.097,Breaststroke,Low,Medium
A007,S001,SENS03,19,5.21,11.61,6.63,37.42,1.112,Breaststroke,Low,Bad
A007,S001,SENS03,20,9.07,16.62,-0.37,30.62,1.088,Breaststroke,Low,Medium
A007,S001,SENS03,21,-7.03,11.25,4.23,33.81,1.229,Breaststroke,Low,Bad
A007,S001,SENS03,22,0.35,10.98,-7.87,34.52,1.11,Breaststroke,Low,Medium
A007,S001,SENS03,23,6.62,16.92,1.38,35.31,1.154,Breaststroke,Low,Medium
A007,S001,SENS03,24,-5.14,20.05,-2.4,38.26,1.095,Breaststroke,Low,Medium
A007,S001,SENS03,25,1.79,18.0,-0.13,36.36,1.113,Breaststroke,Low,Good
A007,S001,SENS03,26,-1.51,20.58,-2.39,35.42,1.11,Breaststroke,Low,Medium
A007,S001,SENS03,27,-5.65,11.79,-5.1,37.97,1.143,Breaststroke,Low,Bad
A007,S001,SENS03,28,-0.33,15.0,-1.27,36.69,1.027,Breaststroke,Low,Good
A007,S001,SENS03,29,0.44,18.09,-0.11,35.96,1.101,Breaststroke,Low,Good
A007,S001,SENS03,30,-0.77,17.38,-5.87,31.36,1.096,Breaststroke,Low,Medium
A007,S001,SENS03,31,-2.45,10.08,5.75,34.02,1.09,Breaststroke,Low,Bad
A007,S001,SENS03,32,-3.26,18.6,9.27,37.67,1.111,Breaststroke,Low,Bad
A007,S001,SENS03,33,7.4,18.47,6.41,36.37,0.952,Breaststroke,Low,Bad
A007,S001,SENS03,34,-0.92,14.21,8.33,38.78,1.003,Breaststroke,Low,Medium
A007,S001,SENS03,35,1.18,12.37,-4.17,34.56,1.164,Breaststroke,Low,Medium
A007,S001,SENS03,36,-0.32,10.66,-3.03,34.91,1.166,Breaststroke,Low,Medium
A007,S001,SENS03,37,5.81,14.49,-1.88,35.95,1.091,Breaststroke,Low,Medium
A007,S001,SENS03,38,4.03,16.78,4.04,38.47,1.076,Breaststroke,Low,Medium
A007,S001,SENS03,39,4.85,14.71,-1.36,36.45,1.107,Breaststroke,Low,Good
A007,S001,SENS03,40,-1.38,12.08,-0.68,30.18,1.109,Breaststroke,Low,Good
A007,S001,SENS03,41,4.71,16.21,-6.57,34.73,1.035,Breaststroke,Low,Medium
A007,S001,SENS03,42,6.59,11.34,3.23,35.46,1.103,Breaststroke,Low,Bad
A007,S001,SENS03,43,-5.74,15.52,2.23,35.18,1.132,Breaststroke,Low,Medium
A007,S001,SENS03,44,2.27,13.02,-4.94,32.93,1.161,Breaststroke,Low,Medium
A007,S001,SENS03,45,2.18,16.56,1.55,35.63,1.087,Breaststroke,Low,Good
A007,S001,SENS03,46,4.42,17.13,4.37,33.13,1.109,Breaststroke,Low,Medium
A007,S001,SENS03,47,3.4,14.67,-2.84,37.69,1.028,Breaststroke,Low,Good
A007,S001,SENS03,48,1.25,13.53,-0.12,36.32,1.052,Breaststroke,Low,Good
A007,S001,SENS03,49,2.5,14.1,-5.37,31.94,1.072,Breaststroke,Low,Medium
A007,S001,SENS03,50,0.44,14.63,3.73,33.44,1.103,Breaststroke,Low,Good
A007,S001,SENS03,51,0.98,18.02,-2.82,37.54,1.117,Breaststroke,Low,Good
A007,S001,SENS03,52,3.45,18.69,2.62,38.38,1.165,Breaststroke,Low,Medium
A007,S001,SENS03,53,-5.05,23.21,-2.61,37.66,1.136,Breaststroke,Low,Bad
A007,S001,SENS03,54,-4.08,14.43,-1.99,34.26,1.107,Breaststroke,Low,Good
A007,S001,SENS03,55,0.27,11.27,7.43,36.13,1.072,Breaststroke,Low,Medium
A007,S001,SENS03,56,-2.49,11.35,6.28,34.15,1.019,Breaststroke,Low,Medium
A007,S001,SENS03,57,3.64,16.07,-0.71,36.64,1.148,Breaststroke,Low,Good
A007,S001,SENS03,58,-4.13,17.96,-4.01,39.63,1.094,Breaststroke,Low,Medium
A007,S001,SENS03,59,-7.66,17.68,-4.91,35.46,1.055,Breaststroke,Low,Bad
A007,S001,SENS03,60,-1.53,16.16,5.07,33.96,0.976,Breaststroke,Low,Medium
A007,S001,SENS03,61,2.82,19.14,0.85,34.21,1.223,Breaststroke,Low,Medium
A007,S001,SENS03,62,4.32,16.87,-1.35,32.9,1.154,Breaststroke,Low,Good
A007,S001,SENS03,63,-1.67,20.47,9.58,38.06,1.115,Breaststroke,Low,Bad
A007,S001,SENS03,64,-3.35,11.35,-0.24,33.54,1.114,Breaststroke,Low,Medium
A007,S001,SENS03,65,0.9,11.26,4.4,34.26,1.098,Breaststroke,Low,Medium
A007,S001,SENS03,66,-2.27,11.8,-4.7,35.11,1.057,Breaststroke,Low,Medium
A007,S001,SENS03,67,0.96,18.08,4.55,38.01,1.119,Breaststroke,Low,Medium
A007,S001,SENS03,68,0.57,14.95,4.08,33.89,1.009,Breaststroke,Low,Good
A007,S001,SENS03,69,2.4,9.6,3.25,37.05,1.145,Breaststroke,Low,Medium
A007,S001,SENS03,70,1.86,17.47,-10.11,38.4,1.078,Breaststroke,Low,Bad
A007,S001,SENS03,71,-0.21,14.6,-0.85,36.74,1.081,Breaststroke,Low,Good
A007,S001,SENS03,72,-8.1,11.38,-5.08,38.01,1.182,Breaststroke,Low,Bad
A007,S001,SENS03,73,-5.85,12.53,-1.75,35.16,1.129,Breaststroke,Low,Medium
A007,S001,SENS03,74,3.32,12.11,0.95,34.75,1.182,Breaststroke,Low,Good
A007,S001,SENS03,75,8.45,18.3,-2.53,36.95,0.974,Breaststroke,Low,Bad
A007,S001,SENS03,76,2.21,16.54,3.14,35.67,1.109,Breaststroke,Low,Good
A007,S001,SENS03,77,7.76,19.11,4.2,34.43,1.079,Breaststroke,Low,Bad
A007,S001,SENS03,78,0.81,17.84,0.91,36.11,1.121,Breaststroke,Low,Good
A007,S001,SENS03,79,-4.36,13.9,-5.32,34.94,1.0,Breaststroke,Low,Medium
A007,S001,SENS03,80,-4.11,13.34,2.24,35.84,1.003,Breaststroke,Low,Medium
A007,S001,SENS03,81,4.43,12.19,-1.12,36.04,1.131,Breaststroke,Low,Medium
A007,S001,SENS03,82,-1.82,20.85,-2.45,38.66,1.135,Breaststroke,Low,Medium
A007,S001,SENS03,83,4.95,15.41,3.37,35.75,1.095,Breaststroke,Low,Medium
A007,S001,SENS03,84,-6.36,15.49,3.14,33.73,1.093,Breaststroke,Low,Medium
A007,S001,SENS03,85,2.23,16.75,10.29,35.95,1.052,Breaststroke,Low,Bad
A007,S001,SENS03,86,-5.61,12.52,-7.49,36.2,1.152,Breaststroke,Low,Bad
