athlete_id,session_id,sensor_id,timestamp_s,distance_cm,time_to_wall_s,speed_mps,pace_s_per_25m,th_early_cm,th_urgent_cm,th_safety_cm,safe_class,optimal_threshold_cm
A007,S001,SENS03,1,2386.3,20.23,1.18,21.19,197.0,132.0,63.1,Safe,94.3
A007,S001,SENS03,2,2278.1,21.52,1.059,23.61,197.8,120.4,67.3,Safe,93.6
A007,S001,SENS03,3,2169.7,20.98,1.034,24.17,208.0,137.2,55.7,Safe,95.3
A007,S001,SENS03,4,2074.3,21.9,0.947,26.39,194.1,127.4,72.1,Safe,101.6
A007,S001,SENS03,5,1959.7,16.72,1.172,21.34,198.0,110.3,63.5,Safe,86.8
A007,S001,SENS03,6,1848.6,16.26,1.137,21.99,200.9,116.1,62.9,Safe,88.6
A007,S001,SENS03,7,1748.3,17.43,1.003,24.93,193.4,136.7,57.7,Safe,96.8
A007,S001,SENS03,8,1637.2,14.59,1.122,22.27,191.9,123.3,68.7,Safe,97.4
A007,S001,SENS03,9,1523.8,13.25,1.15,21.74,211.2,111.0,68.8,Safe,88.5
A007,S001,SENS03,10,1408.7,12.31,1.144,21.85,205.3,138.3,76.7,Safe,106.5
A007,S001,SENS03,11,1303.1,12.86,1.014,24.67,204.7,122.2,68.5,Safe,96.7
A007,S001,SENS03,12,1194.0,10.78,1.107,22.57,204.0,140.6,59.2,Safe,103.2
A007,S001,SENS03,13,1084.1,10.17,1.066,23.45,209.3,134.0,79.8,Safe,104.4
A007,S001,SENS03,14,984.9,9.48,1.039,24.06,203.1,119.3,77.0,Safe,97.5
A007,S001,SENS03,15,869.1,7.29,1.193,20.96,203.5,142.4,57.0,Safe,98.6
A007,S001,SENS03,16,766.6,7.79,0.984,25.41,210.2,132.9,66.6,Safe,99.6
A007,S001,SENS03,17,651.1,5.69,1.145,21.84,199.0,133.6,64.8,Safe,100.1
A007,S001,SENS03,18,536.1,4.89,1.097,22.8,194.7,116.6,62.6,Safe,86.2
A007,S001,SENS03,19,429.3,3.86,1.112,22.49,199.9,116.0,72.1,Safe,97.0
A007,S001,SENS03,20,324.6,2.98,1.088,22.98,198.4,111.4,62.5,Safe,87.4
A007,S001,SENS03,21,206.5,1.68,1.229,20.35,208.5,125.2,56.9,Safe,93.5
A007,S001,SENS03,22,98.2,0.88,1.11,22.52,203.1,120.7,77.4,Urgent,97.5
A007,S001,SENS03,23,2487.1,21.56,1.154,21.67,194.7,144.4,69.4,Safe,103.3
A007,S001,SENS03,24,2377.1,21.71,1.095,22.83,198.1,120.4,64.8,Safe,90.3
A007,S001,SENS03,25,2268.4,20.38,1.113,22.47,207.9,138.8,63.8,Safe,101.9
A007,S001,SENS03,26,2159.9,19.46,1.11,22.53,201.2,112.8,69.2,Safe,90.6
A007,S001,SENS03,27,2040.3,17.86,1.143,21.88,193.4,118.6,56.9,Safe,90.4
A007,S001,SENS03,28,1933.6,18.83,1.027,24.34,206.9,113.3,72.7,Safe,95.0
A007,S001,SENS03,29,1823.2,16.56,1.101,22.71,202.4,139.3,63.8,Safe,100.5
A007,S001,SENS03,30,1712.0,15.62,1.096,22.81,193.9,141.2,67.0,Safe,102.4
A007,S001,SENS03,31,1603.0,14.7,1.09,22.93,210.1,135.2,67.8,Safe,104.5
A007,S001,SENS03,32,1489.5,13.41,1.111,22.51,201.6,127.7,57.1,Safe,91.5
A007,S001,SENS03,33,1397.2,14.67,0.952,26.25,197.6,140.4,73.9,Safe,107.7
A007,S001,SENS03,34,1296.8,12.93,1.003,24.93,197.3,111.0,56.3,Safe,82.0
A007,S001,SENS03,35,1177.5,10.11,1.164,21.47,187.0,134.7,63.0,Safe,97.8
A007,S001,SENS03,36,1061.9,9.11,1.166,21.45,202.4,136.3,64.9,Safe,100.8
A007,S001,SENS03,37,948.1,8.69,1.091,22.91,194.9,120.7,67.1,Safe,96.7
A007,S001,SENS03,38,841.8,7.83,1.076,23.24,207.0,114.8,69.2,Safe,92.3
A007,S001,SENS03,39,735.5,6.65,1.107,22.59,187.9,129.8,73.9,Safe,103.0
A007,S001,SENS03,40,628.4,5.67,1.109,22.54,212.3,123.8,66.7,Safe,94.4
A007,S001,SENS03,41,522.2,5.05,1.035,24.16,188.6,144.5,61.4,Safe,102.2
A007,S001,SENS03,42,413.2,3.75,1.103,22.66,203.6,121.6,57.5,Safe,90.6
A007,S001,SENS03,43,299.8,2.65,1.132,22.09,186.6,127.8,55.1,Safe,88.9
A007,S001,SENS03,44,182.9,1.58,1.161,21.53,190.5,113.7,73.5,Warning,90.1
A007,S001,SENS03,45,76.4,0.7,1.087,23.0,214.4,139.4,74.5,Urgent,108.8
A007,S001,SENS03,46,2468.3,22.25,1.109,22.54,209.7,113.7,70.7,Safe,90.2
A007,S001,SENS03,47,2363.6,22.99,1.028,24.31,185.4,111.1,56.3,Safe,82.2
A007,S001,SENS03,48,2257.6,21.45,1.052,23.76,194.2,139.9,65.0,Safe,103.4
A007,S001,SENS03,49,2145.8,20.02,1.072,23.33,211.5,122.5,63.0,Safe,93.8
A007,S001,SENS03,50,2031.4,18.41,1.103,22.66,211.2,141.3,64.2,Safe,99.6
A007,S001,SENS03,51,1922.9,17.22,1.117,22.39,209.2,125.9,76.1,Safe,99.3
A007,S001,SENS03,52,1804.6,15.48,1.165,21.45,199.5,125.4,74.5,Safe,101.7
A007,S001,SENS03,53,1690.3,14.88,1.136,22.01,202.9,116.1,76.0,Safe,98.2
A007,S001,SENS03,54,1579.0,14.26,1.107,22.58,196.4,111.0,71.7,Safe,93.2
A007,S001,SENS03,55,1471.2,13.73,1.072,23.33,195.6,122.7,59.0,Safe,87.9
A007,S001,SENS03,56,1370.0,13.44,1.019,24.53,212.7,145.0,70.0,Safe,107.1
A007,S001,SENS03,57,1253.5,10.92,1.148,21.77,199.9,139.0,77.0,Safe,106.2
A007,S001,SENS03,58,1148.3,10.5,1.094,22.86,191.7,137.3,74.8,Safe,108.1
A007,S001,SENS03,59,1044.8,9.9,1.055,23.69,195.2,110.1,65.6,Safe,88.9
A007,S001,SENS03,60,947.6,9.71,0.976,25.62,210.6,112.6,66.3,Safe,91.6
A007,S001,SENS03,61,824.6,6.74,1.223,20.45,211.8,118.8,63.1,Safe,92.2
A007,S001,SENS03,62,707.2,6.13,1.154,21.66,191.3,143.0,76.5,Safe,112.4
A007,S001,SENS03,63,592.0,5.31,1.115,22.43,206.7,114.8,64.3,Safe,86.8
A007,S001,SENS03,64,477.7,4.29,1.114,22.43,212.7,121.2,77.0,Safe,96.0
A007,S001,SENS03,65,369.7,3.37,1.098,22.76,205.4,132.1,75.9,Safe,103.5
